"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B
